episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,loss/entropy,loss/policy,loss/value,step,time/elapsed_sec,time/fps
873,29.205882352941178,45.06392138247665,,,,,,,,,,22000,20.571715116500854,1069.4295480668745
907,29.235294117647058,41.76331813179053,,,,,,,7.075040674209594,-0.07038233452476561,78.82845306396484,23000,21.449890613555908,1072.266540392726
942,28.97142857142857,38.87959673798779,,,,,,,,,,24000,22.012473583221436,1090.2909166143652
976,30.294117647058822,38.12700113568718,,,,,,,7.070998024940491,-0.06409356846706941,105.47043628692627,25000,22.944925785064697,1089.5655202455696
1007,31.838709677419356,39.73591861680379,,,,,,,,,,26000,23.554276943206787,1103.833501775081
1041,29.352941176470587,43.99173301047211,,,,,,,7.066960310935974,-0.07021031394833699,64.92117328643799,27000,24.28933095932007,1111.5991644734793
1076,28.97142857142857,44.478758337256004,,,,,,,,,,28000,24.855077028274536,1126.530405363374
1110,29.38235294117647,51.28626169676417,,,,,,,7.0561576128005985,-0.07612625072943047,65.48659353256225,29000,25.827204942703247,1122.8470159405747
1140,33.166666666666664,45.409020495832614,,,,,,,,,,30000,26.716493368148804,1122.9018564152498
1171,32.45161290322581,59.32899559798073,,,,,,,7.041689348220825,-0.0696126084891148,73.7105375289917,31000,27.723318338394165,1118.1922604505803
1203,30.46875,49.97848042211639,,,,,,,,,,32000,28.289006233215332,1131.1814821698272
1236,30.303030303030305,59.50886270920456,,,,,,,7.031936812400818,-0.07056250107707455,87.95256061553955,33000,29.007614850997925,1137.6323137737995
1264,36.535714285714285,63.82618816863696,,,,,,,,,,34000,29.578125715255737,1149.49812328587
1289,37.96,66.85557827533654,,,,,,,7.02362596988678,-0.07513698634575121,87.47584590911865,35000,30.30711078643799,1154.8444933148169
1319,34.766666666666666,60.785133747150134,,,,,,,,,,36000,30.88751769065857,1165.5193648302666
1346,36.77777777777778,75.52805989770124,,,,,,,7.010443079471588,-0.07802586436737328,160.7112144470215,37000,31.712618112564087,1166.7280156014974
1373,36.888888888888886,66.94691483081199,,,,,,,,,,38000,32.59466910362244,1165.8348142511695
1398,40.4,59.03003657877025,,,,,,,6.994224786758423,-0.07306894920766353,171.4189754486084,39000,33.58015298843384,1161.4003073015463
1425,37.48148148148148,73.65608546689666,,,,,,,,,,40000,34.15874648094177,1171.0031579266893
1449,40.791666666666664,73.10293861463178,,,,,,,6.983477222919464,-0.07259257698897273,171.56636810302734,41000,35.00452661514282,1171.2770879827742
1472,43.0,96.76113363766835,,,,,,,,,,42000,36.00323152542114,1166.5619507055821
1498,38.0,67.17635891997963,,,,,,,,,,43000,36.891627073287964,1165.5761323450793
1519,48.38095238095238,114.83241411320854,,,,,,,6.976375317573547,-0.0733511449303478,235.56941146850585,44000,38.00393843650818,1157.7747415181516
1543,41.708333333333336,91.6603767608757,,,,,,,,,,45000,38.90004253387451,1156.8110744561163
1565,45.22727272727273,95.3793977969883,,,,,,,6.965629315376281,-0.0783102976391092,266.30630950927736,46000,40.01693773269653,1149.513246297577
1586,47.285714285714285,113.81973456493105,,,,,,,,,,47000,40.93093156814575,1148.2758441925487
1606,50.4,136.72951308838697,,,,,,,6.957459139823913,-0.0734134993283078,294.89027824401853,48000,42.054718017578125,1141.3701544720109
1626,50.8,122.18475729178081,,,,,,,,,,49000,43.03805184364319,1138.5273705700367
1646,49.75,123.8068326896949,,,,,,,6.948469817638397,-0.07834892418468371,397.9817916870117,50000,44.156208515167236,1132.3435974541492
1664,55.111111111111114,129.71553869948244,384.6669136094886,65.2,351.9374748980473,336.0698041577555,12.710113216348258,50000.0,,,,51000,45.610424280166626,1118.1654370660392
1682,56.22222222222222,136.29782582695756,,,,,,,6.940285062789917,-0.07827589991502464,333.57935485839846,52000,46.74730038642883,1112.3636995110005
1699,57.294117647058826,172.5549983151342,,,,,,,,,,53000,47.6612708568573,1112.0139905454196
1715,64.3125,127.99272338659038,,,,,,,6.937092506885529,-0.07435436839004979,377.6757530212402,54000,48.549063205718994,1112.2768686840263
1732,59.0,127.02334627309082,,,,,,,,,,55000,49.16204071044922,1118.7493278388247
1748,62.375,182.1126159301374,,,,,,,6.938219428062439,-0.07285298024071381,447.6112190246582,56000,50.20360708236694,1115.4576982511069
1764,61.8125,154.19246147936704,,,,,,,,,,57000,51.11389875411987,1115.1565697266576
1779,65.86666666666666,153.477110088359,,,,,,,6.932999396324158,-0.07872411007992923,513.0192588806152,58000,52.24879455566406,1110.0734570672018
1797,56.55555555555556,141.39211925432178,,,,,,,,,,59000,53.27241015434265,1107.5151251663513
1814,57.76470588235294,198.99763314567838,,,,,,,6.922763299942017,-0.07630803767824546,491.03283462524416,60000,54.410762548446655,1102.723012686631
1830,63.3125,225.35588727219732,,,,,,,,,,61000,55.3860981464386,1101.359403197504
1846,62.625,201.84683092994112,,,,,,,6.908532333374024,-0.07796171656809747,366.19366722106935,62000,56.52524757385254,1096.85499243492
1862,63.625,184.68619755643178,,,,,,,,,,63000,57.45470476150513,1096.5159469796847
1877,65.2,193.08264939625712,,,,,,,6.902672398090362,-0.07605264885351062,438.59900817871096,64000,58.61210918426514,1091.9245338671635
1893,62.3125,195.58302721589882,,,,,,,,,,65000,59.538954734802246,1091.722222694743
1910,60.35294117647059,206.77010915024846,,,,,,,6.890078914165497,-0.0749312584346626,384.29413452148435,66000,60.677160024642944,1087.7239470864372
1925,63.6,163.67146179985573,,,,,,,,,,67000,61.60269832611084,1087.6146957933086
1940,66.26666666666667,202.5199825063999,,,,,,,6.878429865837097,-0.07442184885730967,431.46359634399414,68000,62.86508297920227,1081.681543671811
1957,61.529411764705884,206.67949109002876,,,,,,,,,,69000,63.79958415031433,1081.511751509748
1972,65.53333333333333,229.2714605400451,,,,,,,6.864455091953277,-0.07782241153763607,329.06436614990236,70000,65.01194262504578,1076.7252472937578
1987,64.93333333333334,227.8461434266901,,,,,,,,,,71000,65.99569153785706,1075.8278055056417
2003,61.5,192.20341393191413,,,,,,,6.853090608119965,-0.0760260839946568,343.36522674560547,72000,67.14878559112549,1072.245750480343
2019,66.1875,231.55448783156604,,,,,,,,,,73000,68.07730412483215,1072.310382122964
2035,60.9375,213.4294147635499,,,,,,,6.846992790699005,-0.07722340461332351,412.4202964782715,74000,69.22931718826294,1068.911308178349
2050,65.06666666666666,211.96232901727927,,,,,,,,,,75000,70.1735782623291,1068.7783330590373
2065,66.46666666666667,191.74736798582288,,,,,,,6.836710739135742,-0.07804272787179797,323.29090347290037,76000,71.32728815078735,1065.510858051051
2081,62.4375,201.2553080275118,,,,,,,,,,77000,72.24626588821411,1065.7990285496733
2097,64.5,223.01544008352076,,,,,,,6.8297293305397035,-0.07312269003596157,386.05495300292966,78000,73.52866697311401,1060.8107451277601
2113,62.125,175.5158483707468,,,,,,,,,,79000,74.4536702632904,1061.0625335276611
2128,65.33333333333333,224.78856002392033,,,,,,,6.821634495258332,-0.07393215983756818,367.5876335144043,80000,75.66497731208801,1057.2923278630183
2144,65.1875,220.65958974043608,,,,,,,,,,81000,76.60282683372498,1057.402231066741
2159,63.8,222.79424514744423,,,,,,,6.815057682991028,-0.07414686616975814,283.2930061340332,82000,77.76020836830139,1054.5239232335564
2175,65.4375,217.18941804456682,,,,,,,,,,83000,78.688232421875,1054.795583093138
2189,68.28571428571429,217.31476211438962,,,,,,,6.811889827251434,-0.07641274770721793,458.6947052001953,84000,79.83972764015198,1052.1077974939858
2205,62.0,194.1410758068348,,,,,,,,,,85000,80.76351165771484,1052.4554746980282
2221,64.1875,249.0550141871867,,,,,,,,,,86000,81.68538093566895,1052.8199662523336
2237,62.5,223.29338230814645,,,,,,,6.802639627456665,-0.08220702155958862,370.8107276916504,87000,82.88917922973633,1049.5941787391823
2252,68.0,227.26601598718614,,,,,,,,,,88000,83.46206831932068,1054.371186480995
2267,66.6,226.0817767026133,,,,,,,6.788268280029297,-0.07900024706032127,341.7268920898438,89000,84.23210120201111,1056.6042961050466
2281,69.64285714285714,232.73226932120002,,,,,,,,,,90000,84.85222005844116,1060.6675928810507
2296,67.26666666666667,239.1850719275103,,,,,,,6.777804493904114,-0.07931234229472466,262.048046875,91000,86.01941537857056,1057.9007029925738
2311,65.0,226.3513249653689,,,,,,,,,,92000,86.96617817878723,1057.8825231443898
2326,67.13333333333334,259.32742840733357,,,,,,,6.776767170429229,-0.07891024639829994,297.4042579650879,93000,88.10293579101562,1055.5834395870809
2341,65.26666666666667,243.36783675010847,,,,,,,,,,94000,89.0423674583435,1055.6772318972294
2356,67.06666666666666,227.73463683682212,,,,,,,6.769972348213196,-0.07960162995150313,397.8260383605957,95000,90.19465398788452,1053.2775037061615
2371,67.26666666666667,271.29420964493346,,,,,,,,,,96000,91.1147928237915,1053.6159609741535
2386,67.13333333333334,236.71540198559924,,,,,,,6.767205584049225,-0.07746417743619531,422.73488464355466,97000,92.26743507385254,1051.2918227580449
