episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,info/alpha,info/log_prob,loss/actor,loss/alpha,loss/critic,step,time/elapsed_sec,time/fps
41,24.317073170731707,11.334607483164563,,,,,,,,,,,,1000,0.4387965202331543,2278.96064323539
82,24.195121951219512,11.21463244612541,,,,,,,,,,,,2000,0.8218276500701904,2433.600280824312
122,25.075,11.668247124807007,,,,,,,,,,,,3000,1.207831859588623,2483.7894249798755
165,23.186046511627907,10.81720887192232,,,,,,,,,,,,4000,1.585601806640625,2522.7014646727102
207,23.642857142857142,10.974038936547114,,,,,,,,,,,,5000,1.9650282859802246,2544.4926343672582
247,25.25,11.955631212285827,,,,,,,,,,,,6000,2.3504841327667236,2552.665604654595
286,25.384615384615383,11.998634633959048,,,,,,,,,,,,7000,2.7425830364227295,2552.338400346268
328,23.61904761904762,11.099086391057877,,,,,,,,,,,,8000,3.124408483505249,2560.4846620518915
368,25.35,11.883710332882012,,,,,,,,,,,,9000,3.5119595527648926,2562.671882970431
410,23.595238095238095,10.99118104148251,,,,,,,0.1999799907207489,1.998305320739746,0.49592748284339905,-24.144296646118164,0.37132155895233154,10000,4.359815359115601,2293.6751161013676
476,15.303030303030303,6.758765699630674,,,,,,,0.19749123656749726,1.9874166502952575,0.933577700138092,-24.350162117004395,0.03841635525971651,11000,6.223769426345825,1767.4176606601015
551,13.44,5.7105555120528875,,,,,,,0.192618942797184,2.0,1.206877414226532,-24.704512428283692,0.020205953445285557,12000,8.48466682434082,1414.315994774761
628,13.012987012987013,5.455399764561154,,,,,,,0.18786372393369674,1.9999961686134338,1.457105565071106,-25.07947338104248,0.012774038350209594,13000,10.641764640808105,1221.6019089680617
704,13.131578947368421,5.320188896220403,,,,,,,0.18322459411621095,2.0,1.6260216045379638,-25.454529220581055,0.00970368324033916,14000,12.70630931854248,1101.8148267152303
775,14.028169014084508,5.7621610686624996,,,,,,,0.1787000241279602,2.0,1.7529883980751038,-25.829591453552247,0.006862266637384892,15000,15.954208850860596,940.1907760027145
847,13.88888888888889,5.605404786327903,,,,,,,0.17428717982769013,2.0,1.8251686911582947,-26.204653678894044,0.006458288682624698,16000,19.181350231170654,834.1435721245108
921,13.58108108108108,5.4373775856234206,,,,,,,0.16998331010341644,2.0,1.8352502369880677,-26.579715911865236,0.007816652897745371,17000,22.327945947647095,761.3776941175124
998,13.012987012987013,5.354636139101613,,,,,,,0.16578571909666062,2.0,1.8117808027267457,-26.954778137207033,0.006040231451392174,18000,25.580228328704834,703.6684649058161
1074,13.0,5.350127993263217,,,,,,,0.16169178599119186,2.0,1.7774520864486694,-27.329840354919433,0.005869447424076498,19000,28.789353847503662,659.9661840499243
1151,13.0,5.358653811738971,,,,,,,0.15769894683361055,2.0,1.721700846195221,-27.704902587890626,0.005548941295593977,20000,31.715845108032227,630.599624001029
1225,13.594594594594595,5.475936520044866,,,,,,,0.1538047081232071,2.0,1.6804882211685181,-28.079964820861818,0.08126960871741176,21000,34.32853603363037,611.7359615751483
1302,13.012987012987013,5.240893929424944,,,,,,,0.15000663328170777,2.0,1.633698914527893,-28.455027046203615,0.009276259368285536,22000,35.85731911659241,613.5428008007394
1377,13.253333333333334,5.277502260174132,,,,,,,0.14630234891176225,2.0,1.5863121614456177,-28.83008927154541,0.006356061151251197,23000,37.4312698841095,614.4595166343547
1453,13.171052631578947,5.218602898909137,,,,,,,0.14268953841924667,2.0,1.5553402843475341,-29.205151496887208,0.01623697065282613,24000,39.34760904312134,609.948115874035
1529,13.210526315789474,5.257625359819957,,,,,,,0.13916594249010086,2.0,1.5175451302528382,-29.580213722229004,0.005606786306016147,25000,42.61902904510498,586.5924344156634
1605,13.171052631578947,5.319780662130495,,,,,,,0.13572965478897095,2.0,1.480462333202362,-29.955244018554687,0.004469133399426937,26000,45.29435610771179,574.0229519583181
1681,13.039473684210526,5.245490022442986,,,,,,,0.13238111597299576,2.0,1.4544555950164795,-30.32994568634033,0.0037296060994267462,27000,47.137229919433594,572.7956446772134
1758,13.116883116883116,5.3032879341949775,,,,,,,0.1291159255504608,2.0,1.4304555130004883,-30.704560874938966,0.0032226233100518583,28000,50.415568590164185,555.3839971064544
1834,13.06578947368421,5.271908917297793,,,,,,,0.1259312717616558,2.0,1.4098478956222533,-31.0791760635376,0.002523246151395142,29000,53.29501700401306,544.140927805996
