episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,loss/entropy,loss/policy,loss/value,step,time/elapsed_sec,time/fps,train/lr
39,25.153846153846153,113.12543571055004,,,,,,,,,,1000,0.8871581554412842,1127.1947328293306,0.00029998499999999995
82,23.58139534883721,106.57176757343741,,,,,,,,,,2000,1.7697913646697998,1130.0767084334552,0.00029997
125,22.953488372093023,102.78920036138203,,,,,,,7.113341069221496,-0.043029293627478184,1628.8327331542969,3000,3.2673604488372803,918.1723433873287,0.00029995499999999997
166,24.658536585365855,112.02050190839314,,,,,,,,,,4000,4.15944504737854,961.6667498759169,0.00029994
205,25.53846153846154,115.48853198216365,,,,,,,7.087885558605194,-0.049245299986796456,725.0258960723877,5000,5.444364786148071,918.3807838742447,0.000299925
245,24.55,111.5463540060193,,,,,,,,,,6000,6.493297100067139,924.0297968096919,0.00029990999999999997
285,25.0,112.71962285076297,,,,,,,7.071512031555176,-0.04560154968639836,293.7027248382568,7000,7.818092584609985,895.3590564762036,0.000299895
318,30.757575757575758,138.85963848184622,,,,,,,,,,8000,8.782910585403442,910.8597795923617,0.00029988
349,31.677419354838708,144.2652898873508,,,,,,,7.082069730758667,-0.052120504586491735,367.81299209594727,9000,10.014852285385132,898.6652766844974,0.00029986499999999996
381,32.21875,145.26900780828518,,,,,,,,,,10000,10.965447425842285,911.9554917962569,0.00029985
410,33.793103448275865,154.82948633912892,,,,,,,7.079510116577149,-0.05518381959991529,429.8197380065918,11000,12.24503231048584,898.3234769074741,0.000299835
441,32.70967741935484,148.19387392416314,,,,,,,,,,12000,13.342858076095581,899.3575388093665,0.00029981999999999996
467,38.34615384615385,173.52400489097707,,,,,,,7.091055834293366,-0.05207185168983415,479.87611236572263,13000,14.592291831970215,890.8813056711443,0.00029980499999999994
493,38.42307692307692,176.62601656333257,,,,,,,,,,14000,15.5283944606781,901.5742120314892,0.00029979
516,42.21739130434783,194.5746598273452,,,,,,,7.086162519454956,-0.05567769435874652,661.4179939270019,15000,16.77135467529297,894.382134920653,0.00029977499999999995
538,44.31818181818182,208.76683169203304,,,,,,,,,,16000,17.722068548202515,902.8291452818481,0.00029976
558,51.25,237.96551276892174,,,,,,,7.080570447444916,-0.0520278088748455,659.3729751586914,17000,18.973724365234375,895.9759124122812,0.00029974499999999997
580,45.81818181818182,214.12093255405654,,,,,,,,,,18000,19.921677112579346,903.538386767351,0.00029972999999999995
601,47.57142857142857,220.86700146637304,,,,,,,7.074674761295318,-0.055619133706204596,612.9627540588378,19000,21.170974731445312,897.4551356758857,0.000299715
621,51.2,235.34314619562247,,,,,,,,,,20000,22.14328908920288,903.2081873397952,0.00029969999999999997
642,47.19047619047619,217.06973543162678,,,,,,,7.074518299102783,-0.055595876456936824,538.9515556335449,21000,23.43915343284607,895.9367948234853,0.000299685
661,50.526315789473685,233.48734234529294,,,,,,,,,,22000,24.41254758834839,901.1759186697972,0.00029967
682,50.23809523809524,238.0161900390543,,,,,,,7.06441285610199,-0.05293407299323007,527.7535797119141,23000,25.677939653396606,895.7104935386677,0.00029965499999999996
698,60.375,278.68402565323004,,,,,,,,,,24000,26.64731526374817,900.6535841398755,0.00029964
715,59.529411764705884,273.74633245597374,,,,,,,7.047877585887909,-0.0562591654015705,471.59892349243165,25000,27.911437273025513,895.6901701425738,0.000299625
731,62.6875,295.1905680760283,,,,,,,,,,26000,28.88274574279785,900.1914233338882,0.00029960999999999996
748,58.411764705882355,271.29508181557947,,,,,,,7.029247915744781,-0.05947087899548933,469.46373291015624,27000,30.15637493133545,895.3330783782084,0.000299595
762,70.07142857142857,330.725916081403,,,,,,,,,,28000,31.140470504760742,899.1514754319262,0.00029958
778,64.6875,301.53210143129223,,,,,,,7.031753826141357,-0.054038191662402826,462.82403564453125,29000,32.41231179237366,894.7217398674862,0.000299565
794,60.125,285.8790858117131,,,,,,,,,,30000,33.40639519691467,898.0316440359516,0.00029955
808,70.71428571428571,335.19964087352827,,,,,,,7.030548894405365,-0.058764116640668364,372.1208919525146,31000,34.6732497215271,894.0609907917993,0.00029953499999999997
825,59.294117647058826,273.37413806154257,,,,,,,,,,32000,35.66014647483826,897.3603073273731,0.00029951999999999995
838,76.0,351.4006174227983,,,,,,,7.016114807128906,-0.053946809377521276,353.5360618591309,33000,36.9595422744751,892.8682004482067,0.000299505
852,74.28571428571429,349.7513837063048,,,,,,,,,,34000,37.96488404273987,895.5644369076354,0.00029948999999999997
867,67.4,314.8228123287887,,,,,,,7.008539617061615,-0.05469250822206959,425.258341217041,35000,39.266584396362305,891.3431238812417,0.00029947499999999995
882,66.93333333333334,316.9096363456647,,,,,,,,,,36000,40.25434994697571,894.3132865745026,0.00029946
897,66.0,306.32053516473877,,,,,,,6.986872959136963,-0.05579931861720979,292.89294815063477,37000,41.5383780002594,890.7425321173818,0.00029944499999999996
911,69.28571428571429,340.0340581746954,,,,,,,,,,38000,42.523595333099365,893.6215224120923,0.00029942999999999994
925,66.64285714285714,321.5795336984975,,,,,,,6.976830422878265,-0.056999611190985885,282.037841796875,39000,43.815706729888916,890.0917709812067,0.000299415
