episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,loss/actor,loss/critic,step,time/elapsed_sec,time/fps
42,23.69047619047619,11.058694167675824,,,,,,,,,1000,0.2455747127532959,4072.080503681985
83,24.195121951219512,11.274411573007411,,,,,,,,,2000,0.45757460594177246,4370.8719278326935
126,23.558139534883722,11.033985168094734,,,,,,,,,3000,0.6651089191436768,4510.539422418932
165,24.794871794871796,11.587659348203452,,,,,,,,,4000,0.8815231323242188,4537.60072007824
206,24.951219512195124,11.679861244829153,,,,,,,,,5000,1.0927743911743164,4575.509858560013
244,26.394736842105264,12.290359970245108,,,,,,,,,6000,1.3078742027282715,4587.597176765005
285,23.902439024390244,11.15712401719197,,,,,,,,,7000,1.5208544731140137,4602.675748237242
328,23.72093023255814,10.959960182137763,,,,,,,,,8000,1.7316088676452637,4619.980960757516
370,23.476190476190474,10.912986806972171,,,,,,,,,9000,1.9416086673736572,4635.331594483439
411,24.5609756097561,11.534189755509951,,,,,,,0.0,0.2051663100719452,10000,2.3081376552581787,4332.497230925094
463,19.21153846153846,7.912885948278636,,,,,,,-0.23691549580544233,0.01971232071146369,11000,3.4826509952545166,3158.513447080593
526,15.984126984126984,6.676018335145832,,,,,,,-0.37021110010147096,0.011803108494728804,12000,4.702172040939331,2552.012111748003
592,15.227272727272727,6.287130891324075,,,,,,,-0.47752188420295716,0.010072639456018806,13000,5.886536121368408,2208.429496051061
658,15.121212121212121,6.451158443359507,,,,,,,-0.5826690616607666,0.007843277169391512,14000,7.064967155456543,1981.6086461473876
722,15.46875,6.8280882170727395,,,,,,,-0.6902777857780457,0.006144421545788646,15000,8.582926988601685,1747.6555515292544
786,15.75,6.920711360185108,,,,,,,-0.7896263451576233,0.005325613068416715,16000,10.532998085021973,1519.0356886850818
850,15.625,6.688487984083637,,,,,,,-0.8842753448486328,0.00517504916433245,17000,12.52593445777893,1357.1841731490586
915,15.384615384615385,6.7287789770780835,,,,,,,-0.9709778656959533,0.005164994923397899,18000,14.404286861419678,1249.6279873605579
980,15.292307692307693,6.80583267059544,,,,,,,-1.0616861333847045,0.004784604380838573,19000,16.21489119529724,1171.762410931904
1045,15.523076923076923,6.690329549802316,,,,,,,-1.1504015989303589,0.00491137339733541,20000,18.050007104873657,1108.0328048513525
1096,19.627450980392158,8.615586485457936,,,,,,,-1.2311919908523559,0.006011258749291301,21000,19.95914363861084,1052.1493497033425
1142,21.67391304347826,9.81758143693352,,,,,,,-1.307550175666809,0.006425368569791317,22000,22.004430294036865,999.7986635428564
1164,42.86363636363637,20.349466448731885,,,,,,,-1.37961007976532,0.007330775765702129,23000,24.183403968811035,951.0654509043784
1184,53.0,22.6082816584472,,,,,,,-1.4653702697753905,0.009040814727544784,24000,26.414167881011963,908.6032960838639
1201,58.35294117647059,23.543210379361806,,,,,,,-1.5512151374816894,0.008937287338078023,25000,28.58698081970215,874.5239715125845
1219,56.05555555555556,24.011661305211145,,,,,,,-1.6280061321258545,0.014505004424601793,26000,30.43925166130066,854.1602891327135
1235,61.875,25.24203134492801,,,,,,,-1.6974592084884643,0.012154516372829676,27000,32.49959421157837,830.7796037152035
1248,77.0,33.58219093225829,,,,,,,-1.7779059371948243,0.014144279515370726,28000,34.60967755317688,809.0222729460198
1260,83.16666666666667,38.493090703207855,,,,,,,-1.8694630155563354,0.012628449257463217,29000,36.86878776550293,786.5731898875848
1274,66.21428571428571,29.759411841747948,,,,,,,-1.9439416360855102,0.011996689792722464,30000,39.178385734558105,765.7283330471138
1286,82.41666666666667,38.116361752214196,,,,,,,-2.019471671104431,0.011692008204758167,31000,41.41662621498108,748.4916767263575
1301,70.53333333333333,34.14249896865423,,,,,,,-2.1185897064208983,0.014097583003342152,32000,43.562159061431885,734.5825066859798
1322,48.42857142857143,23.489061453629866,,,,,,,-2.26812921333313,0.017793457917869092,33000,45.71320867538452,721.8920079388283
1343,48.523809523809526,24.659274637343525,,,,,,,-2.384015562057495,0.017475238021463155,34000,47.8142352104187,711.0853044156066
1360,56.294117647058826,28.6658670174323,,,,,,,-2.506267673492432,0.017054173592478038,35000,49.09210681915283,712.9455683972617
1377,59.294117647058826,30.375769343056504,,,,,,,-2.6207126693725584,0.02174290044605732,36000,50.40700149536133,714.1865005263778
1393,64.0,32.256692259089576,,,,,,,-2.735984645843506,0.028160030640661717,37000,51.83194303512573,713.8455136618293
1407,71.14285714285714,35.60296249004873,,,,,,,-2.8364915981292724,0.03207141549885273,38000,53.19949793815613,714.2924552441192
1421,72.64285714285714,36.2893394465307,,,,,,,-2.9396621475219726,0.026821466028690337,39000,54.563576459884644,714.7625308006149
1435,68.78571428571429,33.30886278125967,,,,,,,-3.049203254699707,0.026449633829295636,40000,55.853365421295166,716.1609635925221
1453,56.166666666666664,26.765211795440912,,,,,,,-3.137345012664795,0.029991460911929606,41000,57.147676944732666,717.4394864668071
1468,65.26666666666667,32.10453735098589,,,,,,,-3.2291371116638183,0.028893297493457794,42000,58.834869623184204,713.8623790448524
1487,52.8421052631579,25.8255809684528,,,,,,,-3.3001054344177247,0.028369436919689177,43000,60.40390157699585,711.8745458054331
1505,58.0,28.994199622053358,,,,,,,-3.383306694030762,0.02899895977973938,44000,61.75720477104187,712.4674791083116
1520,64.8,33.08331680050999,,,,,,,-3.4645868988037107,0.02900164358317852,45000,63.029815673828125,713.947828006823
1537,60.294117647058826,30.652553393675507,,,,,,,-3.556963764190674,0.03056873884052038,46000,64.2951340675354,715.4507206047933
1554,57.35294117647059,28.636537601893608,,,,,,,-3.6263979721069335,0.03157979500293732,47000,66.2829122543335,709.0816984573154
1571,58.529411764705884,29.505837616434484,,,,,,,-3.69631476020813,0.0322879242375493,48000,68.47005724906921,701.0363643394284
1588,60.35294117647059,30.45111796555212,,,,,,,-3.7644602794647217,0.033050474219024184,49000,70.76742720603943,692.4089504813628
